locatiecode,wgs84_lon,wgs84_lat,Overall_status_weighted
ADM065,4.926603501880163,52.37260720495909,Unknown
ADM066,4.891700552407799,52.38821273231429,Unknown
ADM067,4.845535006978613,52.35302130644519,Unknown
ADM068,4.899693319376082,52.372032107151774,Unknown
ADM069,4.898779239902251,52.371030704556674,Unknown
ADM070,4.897704879931332,52.369920779521934,Unknown
ADM071,4.849428242646405,52.34303565951232,Unknown
ADM073,4.914238067592963,52.36858589515444,Unknown
ADM074,4.844549672719328,52.35557830825423,Unknown
ADM076,4.884742434964135,52.36705332312275,Potential stress
ADM077,4.902014318619347,52.36523794350602,Unknown
ADM078,4.888522506078623,52.38082948787795,Unknown
ADM079,4.883372431670897,52.37520834835497,Unknown
ADM080,4.888432135549119,52.36666447700312,Unknown
ADM081,4.899428140736558,52.374781252370376,Unknown
ADM082,4.855259122094832,52.3756785784112,Unknown
ADM100,4.831082943024087,52.377158329385615,Unknown
ADM151,4.890028643278542,52.36570051798175,Unknown
AMK001,4.886447199331334,52.35000181845962,Potential stress
AMS001,4.735618737710412,52.2074731807158,Potential stress
AMS002,4.784795927005585,52.22872137881485,Potential stress
AMS003,4.830990366486236,52.231069085582426,Potential stress
AMS005,4.881472334500118,52.26361658663166,Potential stress
AMS006,4.879252701811543,52.2771248646488,Potential stress
AMS007,4.890931351391147,52.29417051415184,Potential stress
AMS008,4.898456389465528,52.299028323819385,Potential stress
AMS009,4.905001681856297,52.31596127617056,Potential stress
AMS010,4.898503180088008,52.33077345652135,Potential stress
AMS011,4.912056821661169,52.34741107104024,Potential stress
AMS012,4.89903198751575,52.33338209498248,Potential stress
AMS014,4.898034298074759,52.32139725496162,In danger
AMS015,4.900321498708975,52.29605205473425,Unknown
AMS016,4.870181540728432,52.25325859189908,In danger
AMS021,4.860841022687758,52.24804929304133,Potential stress
AMS022,4.9160910108257125,52.34065942365678,In danger
AMS023,4.920122733015484,52.3633154974347,Potential stress
AMS024,4.911820469984667,52.35029518680968,OK
AMS025,4.865103345204622,52.34281824089734,Unknown
AMS027,4.951996139348703,52.36029125997493,Unknown
AMS028,4.882986742581206,52.34066681638803,Potential stress
AMS029,4.917420471921735,52.341212961296,Unknown
AMS030,4.830680969826009,52.23122941229874,Potential stress
AMS031,4.881766820257967,52.263483027666496,Potential stress
AMS032,4.905441632663937,52.31596306863093,Potential stress
AMS033,4.89908997641075,52.33077587857396,Potential stress
AMS198,4.957171089257946,52.362548106156,Unknown
ANG001,4.998110407940577,52.22923006221316,Potential stress
ANG002,4.977672844565537,52.26312619527161,Potential stress
ANG003,4.994303310962039,52.224417921024205,Unknown
ANG004,4.981502483273634,52.26723786009963,Unknown
ANG005,4.987495955018899,52.2588816007818,Unknown
ANG006,4.990433413529829,52.21524629727204,Unknown
ANG007,4.973801235974043,52.26991652166517,Potential stress
ARK001,5.01855007500282,52.27267099782562,Potential stress
ARK003,4.957474852710714,52.36756433843956,In danger
ARK004,5.020126676675469,52.30532854761265,In danger
AVP001,4.824934781237086,52.29099900878377,Potential stress
AVW005,5.02013531943068,52.30250641611895,Potential stress
AVW006,5.011183855410469,52.2861385047187,Potential stress
AVW007,5.020189139363635,52.30309078798933,Potential stress
AVW008,5.020359270106038,52.28247333837285,Potential stress
AVW009,5.012229947835188,52.28722036216655,Potential stress
AVW116,5.0112003343628695,52.285922849915686,Unknown
AVW156,5.019676228852596,52.30306223217758,Unknown
BAA001,4.985122013061963,52.24603887295191,Potential stress
BAA002,4.984041914876772,52.24565770217142,Potential stress
BBO002,4.996990633554457,52.26181640169813,In danger
BBO003,4.987288645170585,52.25913255955299,Potential stress
